Area,Benchmark,Price Index,1 Month +/-,6 Month +/-,1 Year +/-,3 Year +/-,5 Year +/-,Property Type,Report Month,Report Year
Lower Mainland,"$417,800",179.0,1.8,9.2,14.5,20.6,20.5,Apartment,1,2016
Burnaby East,"$495,000",189.9,3.0,4.2,10.6,16.9,21.0,Apartment,1,2016
Burnaby North,"$377,100",161.0,1.9,6.3,10.3,15.2,14.4,Apartment,1,2016
Burnaby South,"$445,600",178.9,0.7,8.5,12.2,22.3,18.8,Apartment,1,2016
Coquitlam,"$319,400",175.3,2.6,11.4,16.0,26.4,23.7,Apartment,1,2016
Ladner,"$380,600",177.7,-2.1,5.0,13.7,23.2,20.8,Apartment,1,2016
Maple Ridge,"$206,300",147.3,-0.7,3.5,4.8,5.9,3.4,Apartment,1,2016
New Westminster,"$320,000",181.3,3.2,7.7,11.2,18.8,21.3,Apartment,1,2016
North Vancouver,"$401,100",163.6,1.1,6.9,9.5,16.9,19.4,Apartment,1,2016
Pitt Meadows,"$284,000",167.5,0.6,4.7,7.2,13.0,16.4,Apartment,1,2016
Port Coquitlam,"$268,900",160.8,1.4,7.9,11.7,16.5,14.0,Apartment,1,2016
Port Moody,"$393,500",164.0,1.4,8.2,16.6,28.0,27.1,Apartment,1,2016
Richmond,"$417,600",178.8,2.5,10.4,16.9,22.2,21.0,Apartment,1,2016
Squamish,"$315,900",155.7,7.5,10.3,18.5,50.0,23.6,Apartment,1,2016
Tsawwassen,"$402,800",173.5,-2.3,3.5,13.2,21.3,18.5,Apartment,1,2016
Vancouver East,"$397,300",223.3,3.2,10.8,16.5,24.1,25.9,Apartment,1,2016
Vancouver West,"$600,400",194.8,1.8,13.3,20.7,30.0,31.6,Apartment,1,2016
West Vancouver,"$853,400",173.4,9.7,9.7,16.4,25.7,26.7,Apartment,1,2016
Whistler,"$301,500",118.1,1.9,5.3,11.2,21.5,-2.4,Apartment,1,2016
Greater Vancouver,"$810,000",212.5,3.3,12.8,23.2,35.9,39.0,Residential - All Types,2,2016
Lower Mainland,"$718,200",201.2,3.4,12.4,21.9,32.4,35.7,Residential - All Types,2,2016
Bowen Island,"$644,400",139.7,-0.8,2.3,9.7,10.7,15.9,Residential - All Types,2,2016
Burnaby East,"$740,200",205.3,2.8,6.9,18.1,30.5,35.2,Residential - All Types,2,2016
Burnaby North,"$669,300",202.1,3.3,10.4,19.5,30.1,36.1,Residential - All Types,2,2016
Burnaby South,"$732,200",206.8,2.9,9.8,17.4,31.3,34.8,Residential - All Types,2,2016
Coquitlam,"$681,700",202.2,2.9,13.2,24.4,37.6,42.1,Residential - All Types,2,2016
Ladner,"$823,400",231.8,5.2,24.5,38.1,49.2,54.3,Residential - All Types,2,2016
Maple Ridge,"$506,200",161.2,3.1,9.3,16.5,20.1,21.8,Residential - All Types,2,2016
New Westminster,"$450,000",198.0,3.1,11.2,18.7,26.4,30.9,Residential - All Types,2,2016
North Vancouver,"$881,500",198.1,2.2,14.7,23.3,37.3,44.1,Residential - All Types,2,2016
Pitt Meadows,"$477,300",173.5,2.1,6.8,14.5,21.8,24.3,Residential - All Types,2,2016
Port Coquitlam,"$546,600",187.1,4.0,13.6,24.7,33.2,32.9,Residential - All Types,2,2016
Port Moody,"$685,600",189.5,3.5,14.1,23.3,37.1,39.9,Residential - All Types,2,2016
Richmond,"$745,000",222.4,3.1,13.8,24.0,35.3,32.9,Residential - All Types,2,2016
Squamish,"$533,400",169.7,2.4,9.9,20.4,38.9,43.7,Residential - All Types,2,2016
Sunshine Coast,"$399,900",140.1,-0.1,5.3,13.9,13.7,12.4,Residential - All Types,2,2016
Tsawwassen,"$974,700",252.7,9.0,33.0,53.2,68.9,78.5,Residential - All Types,2,2016
Vancouver East,"$874,300",259.8,3.6,13.2,26.3,44.7,52.0,Residential - All Types,2,2016
Vancouver West,"$1,111,500",232.1,4.0,13.9,24.7,41.0,44.9,Residential - All Types,2,2016
West Vancouver,"$2,205,200",242.8,2.4,12.2,28.0,46.4,63.7,Residential - All Types,2,2016
Whistler,"$598,200",139.4,3.7,7.6,17.3,28.5,24.8,Residential - All Types,2,2016
Greater Vancouver,"$1,328,400",245.4,3.4,13.9,29.2,47.4,54.1,Detached,2,2016
Lower Mainland,"$1,046,600",223.2,3.6,13.9,27.0,41.9,49.3,Detached,2,2016
Bowen Island,"$644,400",139.7,-0.8,2.3,9.7,10.7,15.9,Detached,2,2016
Burnaby East,"$1,060,300",237.1,3.4,12.1,33.6,45.2,56.9,Detached,2,2016
Burnaby North,"$1,330,500",257.3,3.1,11.5,28.6,46.4,64.2,Detached,2,2016
Burnaby South,"$1,355,100",259.4,3.1,11.0,25.3,47.2,61.3,Detached,2,2016
Coquitlam,"$1,013,400",224.9,2.9,14.0,28.5,45.3,57.1,Detached,2,2016
Ladner,"$1,057,900",253.2,4.7,31.5,48.8,59.6,72.4,Detached,2,2016
Maple Ridge,"$578,500",164.8,3.5,11.4,20.3,27.4,28.9,Detached,2,2016
New Westminster,"$935,600",233.4,3.4,13.0,32.2,42.8,46.6,Detached,2,2016
North Vancouver,"$1,436,500",226.2,2.4,18.4,32.0,54.3,63.9,Detached,2,2016
Pitt Meadows,"$637,700",179.7,2.9,9.6,19.0,29.0,33.6,Detached,2,2016
Port Coquitlam,"$797,000",212.5,3.9,16.4,33.9,45.6,53.5,Detached,2,2016
Port Moody,"$1,177,800",217.5,3.5,14.8,27.2,45.6,52.2,Detached,2,2016
Richmond,"$1,442,800",279.5,4.1,16.4,32.2,49.8,43.5,Detached,2,2016
Squamish,"$683,400",180.1,1.8,10.6,21.4,38.2,47.7,Detached,2,2016
Sunshine Coast,"$398,200",139.5,-0.2,5.5,14.1,13.6,11.8,Detached,2,2016
Tsawwassen,"$1,225,500",273.1,9.3,38.9,64.3,80.3,96.3,Detached,2,2016
Vancouver East,"$1,342,400",295.7,4.7,13.1,32.7,62.8,76.5,Detached,2,2016
Vancouver West,"$3,069,700",310.5,3.0,11.4,25.7,51.2,59.0,Detached,2,2016
West Vancouver,"$2,728,800",257.6,2.4,12.3,28.3,49.7,73.4,Detached,2,2016
Whistler,"$1,183,300",164.6,3.5,7.7,15.0,32.5,35.1,Detached,2,2016
Greater Vancouver,"$582,000",186.7,3.4,10.1,16.8,23.6,24.6,Townhouse,2,2016
Lower Mainland,"$475,300",172.4,3.2,9.2,14.9,19.4,19.8,Townhouse,2,2016
Burnaby East,"$433,700",160.2,2.2,-2.9,-0.9,5.7,5.7,Townhouse,2,2016
Burnaby North,"$537,700",200.7,5.5,11.6,16.1,26.5,29.7,Townhouse,2,2016
Burnaby South,"$549,800",189.4,3.6,6.3,9.9,19.3,22.2,Townhouse,2,2016
Coquitlam,"$491,300",180.3,3.9,12.0,18.2,25.6,28.6,Townhouse,2,2016
Ladner,"$546,700",196.1,4.1,9.5,18.7,26.7,19.6,Townhouse,2,2016
Maple Ridge,"$337,100",156.5,2.4,5.7,11.3,8.7,13.0,Townhouse,2,2016
New Westminster,"$532,200",195.3,4.8,10.7,14.1,22.9,21.3,Townhouse,2,2016
North Vancouver,"$740,400",179.9,0.8,10.7,17.9,23.4,30.8,Townhouse,2,2016
Pitt Meadows,"$384,600",166.4,1.0,4.6,16.9,19.9,16.3,Townhouse,2,2016
Port Coquitlam,"$471,500",178.5,7.0,15.2,24.2,27.6,24.0,Townhouse,2,2016
Port Moody,"$526,100",177.8,1.4,15.1,19.9,27.8,27.0,Townhouse,2,2016
Richmond,"$609,600",200.2,3.1,10.7,17.4,25.9,24.0,Townhouse,2,2016
Squamish,"$478,100",157.2,5.5,9.3,18.8,33.7,35.2,Townhouse,2,2016
Tsawwassen,"$503,200",197.3,5.3,14.3,18.6,23.4,19.1,Townhouse,2,2016
Vancouver East,"$674,200",214.4,1.9,12.4,19.1,25.6,32.3,Townhouse,2,2016
Vancouver West,"$901,200",210.7,3.5,12.9,21.4,31.9,39.5,Townhouse,2,2016
Whistler,"$593,500",143.1,6.3,7.7,17.4,30.9,29.3,Townhouse,2,2016
Greater Vancouver,"$473,400",189.3,3.2,12.5,18.4,27.1,27.1,Apartment,2,2016
Lower Mainland,"$430,900",184.6,3.1,11.7,17.1,24.1,23.7,Apartment,2,2016
Burnaby East,"$507,200",194.6,2.5,7.0,7.9,26.0,23.4,Apartment,2,2016
Burnaby North,"$387,200",165.3,2.7,8.5,11.9,16.8,17.0,Apartment,2,2016
Burnaby South,"$458,300",184.0,2.9,11.0,14.3,24.6,22.2,Apartment,2,2016
Coquitlam,"$327,600",179.8,2.6,12.9,21.3,31.0,26.6,Apartment,2,2016
Ladner,"$410,000",191.4,7.7,11.3,18.3,32.7,28.7,Apartment,2,2016
Maple Ridge,"$212,500",151.7,3.0,4.4,6.0,8.3,5.6,Apartment,2,2016
New Westminster,"$328,500",186.1,2.6,10.6,14.4,20.6,25.0,Apartment,2,2016
North Vancouver,"$408,200",166.5,1.8,10.4,12.6,18.3,21.4,Apartment,2,2016
Pitt Meadows,"$289,300",170.6,1.9,4.5,8.2,14.0,17.3,Apartment,2,2016
Port Coquitlam,"$272,200",162.8,1.2,8.7,13.0,21.9,15.0,Apartment,2,2016
Port Moody,"$413,000",172.1,4.9,12.5,20.5,33.0,34.3,Apartment,2,2016
Richmond,"$424,900",181.9,1.7,11.7,16.6,22.7,22.7,Apartment,2,2016
Squamish,"$314,700",155.1,-0.4,10.1,23.3,56.8,40.5,Apartment,2,2016
Tsawwassen,"$430,700",185.5,6.9,9.7,15.9,29.8,26.2,Apartment,2,2016
Vancouver East,"$407,600",229.1,2.6,13.7,18.6,27.3,28.3,Apartment,2,2016
Vancouver West,"$628,400",203.9,4.7,15.9,24.4,36.1,36.8,Apartment,2,2016
West Vancouver,"$862,800",175.3,1.1,10.9,22.4,23.7,21.7,Apartment,2,2016
Whistler,"$306,900",120.2,1.8,8.9,21.5,28.4,16.0,Apartment,2,2016
Greater Vancouver,"$832,100",218.3,2.7,13.9,24.2,38.7,40.3,Residential - All Types,3,2016
Lower Mainland,"$739,200",207.1,2.9,13.9,23.3,35.4,37.3,Residential - All Types,3,2016
Bowen Island,"$653,600",141.7,1.4,1.6,10.5,14.2,15.5,Residential - All Types,3,2016
Burnaby East,"$776,600",215.4,4.9,11.9,21.3,36.2,40.9,Residential - All Types,3,2016
Burnaby North,"$692,800",209.2,3.5,12.7,22.1,34.7,39.8,Residential - All Types,3,2016
Burnaby South,"$744,900",210.4,1.7,9.1,17.9,32.7,34.2,Residential - All Types,3,2016
Coquitlam,"$702,600",208.4,3.1,14.3,26.1,41.7,43.8,Residential - All Types,3,2016
Ladner,"$848,300",238.8,3.0,23.2,40.3,53.5,56.6,Residential - All Types,3,2016
Maple Ridge,"$524,400",167.0,3.6,12.3,19.1,24.6,25.9,Residential - All Types,3,2016
New Westminster,"$466,900",205.4,3.7,13.9,21.9,29.5,33.6,Residential - All Types,3,2016
North Vancouver,"$900,200",202.3,2.1,14.8,22.4,39.2,44.4,Residential - All Types,3,2016
Pitt Meadows,"$491,600",178.7,3.0,10.4,16.5,24.9,24.9,Residential - All Types,3,2016
Port Coquitlam,"$565,000",193.4,3.4,15.9,27.2,36.6,35.2,Residential - All Types,3,2016
Port Moody,"$705,500",195.0,2.9,15.5,24.7,41.5,44.0,Residential - All Types,3,2016
Richmond,"$767,500",229.1,3.0,14.6,25.7,37.8,34.3,Residential - All Types,3,2016
Squamish,"$552,200",175.7,3.5,12.1,21.5,43.3,49.7,Residential - All Types,3,2016
Sunshine Coast,"$413,000",144.7,3.3,7.3,16.3,21.4,15.3,Residential - All Types,3,2016
Tsawwassen,"$1,004,100",260.3,3.0,33.4,51.2,70.0,84.1,Residential - All Types,3,2016
Vancouver East,"$898,500",267.0,2.8,14.7,27.4,46.1,54.5,Residential - All Types,3,2016
Vancouver West,"$1,133,500",236.7,2.0,14.1,24.4,42.7,44.1,Residential - All Types,3,2016
West Vancouver,"$2,295,100",252.7,4.1,15.4,28.0,53.3,66.4,Residential - All Types,3,2016
Whistler,"$623,900",145.4,4.3,10.6,19.3,32.8,30.2,Residential - All Types,3,2016
Greater Vancouver,"$1,370,000",253.1,3.1,15.7,29.9,50.8,55.8,Detached,3,2016
Lower Mainland,"$1,081,800",230.7,3.4,15.9,28.6,45.6,51.3,Detached,3,2016
Bowen Island,"$653,600",141.7,1.4,1.6,10.5,14.2,15.5,Detached,3,2016
Burnaby East,"$1,093,000",244.4,3.1,15.3,31.5,47.9,63.4,Detached,3,2016
Burnaby North,"$1,360,500",263.1,2.3,12.3,28.2,51.5,67.3,Detached,3,2016
Burnaby South,"$1,394,800",267.0,2.9,12.7,25.8,50.8,60.3,Detached,3,2016
Coquitlam,"$1,052,600",233.6,3.9,16.6,30.3,49.5,60.2,Detached,3,2016
Ladner,"$1,073,800",257.0,1.5,26.7,48.3,61.2,72.7,Detached,3,2016
Maple Ridge,"$602,000",171.5,4.1,14.6,23.6,31.6,33.0,Detached,3,2016
New Westminster,"$974,500",243.1,4.2,17.0,33.1,47.2,51.8,Detached,3,2016
North Vancouver,"$1,479,000",232.9,3.0,19.4,31.3,57.0,65.1,Detached,3,2016
Pitt Meadows,"$661,800",186.5,3.8,12.6,22.7,35.0,34.5,Detached,3,2016
Port Coquitlam,"$825,900",220.2,3.6,18.4,34.7,50.3,55.5,Detached,3,2016
Port Moody,"$1,224,300",226.1,4.0,16.1,30.5,50.7,56.5,Detached,3,2016
Richmond,"$1,494,400",289.5,3.6,18.6,33.5,52.3,42.5,Detached,3,2016
Squamish,"$703,200",185.3,2.9,11.2,20.3,44.0,50.7,Detached,3,2016
Sunshine Coast,"$411,600",144.2,3.4,7.5,16.6,21.5,14.7,Detached,3,2016
Tsawwassen,"$1,263,700",281.6,3.1,39.5,59.9,80.5,104.9,Detached,3,2016
Vancouver East,"$1,385,600",305.2,3.2,15.5,32.9,64.4,78.9,Detached,3,2016
Vancouver West,"$3,147,800",318.4,2.5,12.5,26.6,53.5,60.2,Detached,3,2016
West Vancouver,"$2,842,100",268.3,4.2,14.6,28.6,57.7,74.0,Detached,3,2016
Whistler,"$1,223,500",170.2,3.4,11.0,15.6,37.6,36.7,Detached,3,2016
Greater Vancouver,"$603,800",193.7,3.7,13.1,19.8,29.0,27.9,Townhouse,3,2016
Lower Mainland,"$490,700",178.0,3.2,11.9,17.2,23.8,22.5,Townhouse,3,2016
Burnaby East,"$463,200",171.1,6.8,4.0,6.5,14.1,10.7,Townhouse,3,2016
Burnaby North,"$551,600",205.9,2.6,14.9,19.1,29.4,30.2,Townhouse,3,2016
Burnaby South,"$568,100",195.7,3.3,9.6,13.6,24.3,24.8,Townhouse,3,2016
Coquitlam,"$512,000",187.9,4.2,14.3,23.1,32.7,32.4,Townhouse,3,2016
Ladner,"$604,200",216.7,10.5,20.3,28.3,40.7,31.3,Townhouse,3,2016
Maple Ridge,"$349,600",162.3,3.7,8.9,13.5,16.3,18.7,Townhouse,3,2016
New Westminster,"$579,100",212.5,8.8,19.4,24.5,33.9,30.9,Townhouse,3,2016
North Vancouver,"$767,100",186.4,3.6,12.0,21.0,29.4,32.6,Townhouse,3,2016
Pitt Meadows,"$391,700",169.5,1.9,8.6,16.5,21.3,15.1,Townhouse,3,2016
Port Coquitlam,"$493,700",186.9,4.7,20.3,29.1,33.2,30.2,Townhouse,3,2016
Port Moody,"$521,700",176.3,-0.8,12.6,20.2,29.5,24.9,Townhouse,3,2016
Richmond,"$629,700",206.8,3.3,12.0,20.5,30.5,27.5,Townhouse,3,2016
Squamish,"$514,900",169.3,7.7,16.4,26.7,48.1,45.3,Townhouse,3,2016
Tsawwassen,"$544,600",213.5,8.2,20.8,25.7,35.9,27.8,Townhouse,3,2016
Vancouver East,"$683,600",217.4,1.4,11.8,17.6,25.7,33.5,Townhouse,3,2016
Vancouver West,"$935,900",218.8,3.8,16.9,20.2,35.7,40.6,Townhouse,3,2016
Whistler,"$638,700",154.0,7.6,16.9,25.7,46.9,36.8,Townhouse,3,2016
Greater Vancouver,"$482,200",192.8,1.8,12.1,19.0,28.1,27.3,Apartment,3,2016
Lower Mainland,"$439,800",188.4,2.1,11.5,18.0,25.3,24.4,Apartment,3,2016
Burnaby East,"$534,900",205.2,5.4,12.6,13.8,31.0,27.3,Apartment,3,2016
Burnaby North,"$406,400",173.5,5.0,11.6,16.8,21.9,22.4,Apartment,3,2016
Burnaby South,"$462,300",185.6,0.9,7.6,14.6,23.9,20.8,Apartment,3,2016
Coquitlam,"$331,600",182.0,1.2,11.1,20.9,33.5,25.0,Apartment,3,2016
Ladner,"$419,800",196.0,2.4,11.0,21.7,35.8,27.7,Apartment,3,2016
Maple Ridge,"$215,400",153.8,1.4,7.3,6.4,8.1,7.1,Apartment,3,2016
New Westminster,"$337,800",191.4,2.8,11.7,17.1,22.3,26.0,Apartment,3,2016
North Vancouver,"$411,200",167.7,0.7,8.8,10.5,18.5,20.4,Apartment,3,2016
Pitt Meadows,"$297,600",175.5,2.9,8.7,9.6,15.2,19.7,Apartment,3,2016
Port Coquitlam,"$277,800",166.1,2.0,9.0,15.7,22.2,14.6,Apartment,3,2016
Port Moody,"$427,900",178.3,3.6,16.1,19.5,36.9,42.2,Apartment,3,2016
Richmond,"$432,600",185.2,1.8,10.2,17.3,23.2,24.0,Apartment,3,2016
Squamish,"$320,500",158.0,1.9,11.2,24.8,43.2,52.5,Apartment,3,2016
Tsawwassen,"$442,500",190.6,2.7,9.4,19.3,33.0,25.6,Apartment,3,2016
Vancouver East,"$415,800",233.7,2.0,13.9,21.0,27.8,30.3,Apartment,3,2016
Vancouver West,"$638,900",207.3,1.7,15.1,24.1,37.5,35.0,Apartment,3,2016
West Vancouver,"$883,900",179.6,2.5,19.1,20.6,24.2,27.6,Apartment,3,2016
Whistler,"$312,200",122.3,1.7,5.2,17.6,18.3,25.1,Apartment,3,2016
Greater Vancouver,"$859,500",225.5,3.3,15.8,26.2,42.5,42.3,Residential - All Types,4,2016
Lower Mainland,"$764,200",214.1,3.4,15.9,25.6,39.1,39.7,Residential - All Types,4,2016
Bowen Island,"$679,000",147.2,3.9,5.4,14.0,18.8,11.9,Residential - All Types,4,2016
Burnaby East,"$804,000",223.0,3.5,15.5,22.7,39.3,41.4,Residential - All Types,4,2016
Burnaby North,"$723,600",218.5,4.4,16.3,25.4,41.3,43.0,Residential - All Types,4,2016
Burnaby South,"$777,500",219.6,4.4,11.5,21.5,38.5,37.6,Residential - All Types,4,2016
Coquitlam,"$721,800",214.1,2.7,15.0,26.7,45.4,45.7,Residential - All Types,4,2016
Ladner,"$857,500",241.4,1.1,22.8,38.3,57.1,55.7,Residential - All Types,4,2016
Maple Ridge,"$544,200",173.3,3.8,15.7,23.1,27.9,28.8,Residential - All Types,4,2016
New Westminster,"$478,500",210.5,2.5,15.3,23.7,31.6,34.3,Residential - All Types,4,2016
North Vancouver,"$926,000",208.1,2.9,16.5,23.6,41.2,44.4,Residential - All Types,4,2016
Pitt Meadows,"$504,800",183.5,2.7,12.2,17.3,28.3,28.9,Residential - All Types,4,2016
Port Coquitlam,"$584,000",199.9,3.4,18.0,28.2,41.3,37.9,Residential - All Types,4,2016
Port Moody,"$720,300",199.1,2.1,15.6,26.3,43.1,46.7,Residential - All Types,4,2016
Richmond,"$797,600",238.1,3.9,16.4,28.8,42.5,36.9,Residential - All Types,4,2016
Squamish,"$565,700",180.0,2.4,15.3,25.3,48.1,44.0,Residential - All Types,4,2016
Sunshine Coast,"$422,700",148.1,2.3,10.5,17.3,23.1,12.8,Residential - All Types,4,2016
Tsawwassen,"$1,017,200",263.7,1.3,30.0,49.2,75.6,82.9,Residential - All Types,4,2016
Vancouver East,"$927,100",275.5,3.2,16.6,28.1,51.2,57.5,Residential - All Types,4,2016
Vancouver West,"$1,173,300",245.0,3.5,15.9,26.7,45.6,46.3,Residential - All Types,4,2016
West Vancouver,"$2,407,700",265.1,4.9,20.5,32.6,57.9,69.4,Residential - All Types,4,2016
Whistler,"$636,800",148.4,2.1,12.5,21.9,33.5,25.9,Residential - All Types,4,2016
Greater Vancouver,"$1,421,500",262.6,3.8,18.4,31.8,55.8,56.5,Detached,4,2016
Lower Mainland,"$1,125,400",240.0,4.0,18.9,31.2,50.7,53.5,Detached,4,2016
Bowen Island,"$679,000",147.2,3.9,5.4,14.0,18.8,11.9,Detached,4,2016
Burnaby East,"$1,124,300",251.4,2.9,16.8,30.5,50.2,58.2,Detached,4,2016
Burnaby North,"$1,431,400",276.8,5.2,15.9,31.1,60.1,67.6,Detached,4,2016
Burnaby South,"$1,491,400",285.5,6.9,18.5,28.9,57.8,63.1,Detached,4,2016
Coquitlam,"$1,089,100",241.7,3.5,18.2,31.8,54.6,62.2,Detached,4,2016
Ladner,"$1,076,700",257.7,0.3,26.5,44.6,66.5,70.2,Detached,4,2016
Maple Ridge,"$627,300",178.7,4.2,18.1,28.3,35.1,35.5,Detached,4,2016
New Westminster,"$1,003,800",250.4,3.0,18.5,32.6,49.7,51.4,Detached,4,2016
North Vancouver,"$1,522,900",239.8,3.0,21.2,31.8,59.3,65.0,Detached,4,2016
Pitt Meadows,"$676,700",190.7,2.3,14.3,23.5,36.7,36.8,Detached,4,2016
Port Coquitlam,"$856,200",228.3,3.7,20.9,35.6,56.9,56.8,Detached,4,2016
Port Moody,"$1,257,900",232.3,2.7,17.3,30.9,52.6,56.0,Detached,4,2016
Richmond,"$1,581,600",306.4,5.8,22.4,38.3,62.0,48.4,Detached,4,2016
